street,coordinates
улица Гафури,"[(55.9296947, 54.7290974), (55.929747, 54.7292135), (55.9299017, 54.7295572), (55.9300679, 54.7299265), (55.9302506, 54.7303323), (55.930525, 54.7309419), (55.930582, 54.7310687), (55.9307281, 54.7313945), (55.9307835, 54.7315048)]"
улица Пушкина,"[(55.9276748, 54.7248035), (55.9274606, 54.7248397), (55.9263622, 54.725025)]"
улица Гафури,"[(55.9276748, 54.7248035), (55.9275822, 54.724616), (55.9269016, 54.7231916)]"
улица Гафури,"[(55.9276748, 54.7248035), (55.9277174, 54.7248924), (55.927773, 54.7250071), (55.927901, 54.7252736), (55.9279221, 54.7253163), (55.9283082, 54.7261011), (55.928401, 54.7263009), (55.9287725, 54.7270945), (55.928817, 54.7271496)]"
улица Пушкина,"[(55.9276748, 54.7248035), (55.927895, 54.724766), (55.928317, 54.7246978), (55.9290779, 54.7245693), (55.9307482, 54.7242922), (55.9319058, 54.7241038), (55.9320595, 54.7240813), (55.9326964, 54.7239721), (55.9333558, 54.7238634), (55.9335875, 54.7238207)]"
улица Заки Валиди,"[(55.9270623, 54.7221682), (55.9270138, 54.7222595), (55.9269386, 54.722607), (55.9269309, 54.7227), (55.9269257, 54.7227514)]"
улица Заки Валиди,"[(55.9270623, 54.7221682), (55.9270878, 54.7221222), (55.9271073, 54.7220875), (55.9271369, 54.7220569), (55.9271657, 54.7220364), (55.9272306, 54.7220057), (55.9272834, 54.7219952), (55.9280637, 54.7218622), (55.9281974, 54.7218405), (55.9309944, 54.7213882)]"
улица Красина,"[(55.9319836, 54.7339537), (55.9317831, 54.7339844), (55.9313822, 54.7340481), (55.9302664, 54.7342339), (55.9301812, 54.7342739)]"
улица Гафури,"[(55.9319836, 54.7339537), (55.9319417, 54.7338725), (55.9308349, 54.731603), (55.9307835, 54.7315048)]"
улица Гафури,"[(55.9319836, 54.7339537), (55.9320253, 54.7340359), (55.9322431, 54.734466), (55.9324655, 54.7349052), (55.9328058, 54.7355769), (55.9328493, 54.7356629), (55.9331724, 54.7362999)]"
улица Красина,"[(55.9319836, 54.7339537), (55.9321242, 54.7339307), (55.933202, 54.7337535), (55.9348254, 54.7334868), (55.934961, 54.7334645)]"
улица Мустая Карима,"[(55.9456395, 54.7290361), (55.9455876, 54.7289241), (55.9454715, 54.7286738), (55.9450993, 54.7278708), (55.9448297, 54.7272892), (55.9447133, 54.727038), (55.9445383, 54.7266602), (55.9444974, 54.7265719)]"
улица Чернышевского,"[(55.9456395, 54.7290361), (55.9454184, 54.7290721), (55.9442147, 54.7292683), (55.9440573, 54.7292939), (55.9439493, 54.7293115), (55.9428447, 54.7294915), (55.9426289, 54.7295267)]"
Коммунистическая улица,"[(55.9444974, 54.7265719), (55.9443132, 54.7266015), (55.9430264, 54.7268078), (55.9416947, 54.7270198), (55.941464, 54.7270584)]"
Коммунистическая улица,"[(55.9444974, 54.7265719), (55.9446249, 54.7265515), (55.945184, 54.7264618), (55.9453504, 54.7264351), (55.9456208, 54.7263917), (55.9459398, 54.7263406), (55.9472251, 54.7261344), (55.9474304, 54.7261015)]"
улица Гоголя,"[(55.9377315, 54.7258076), (55.9377801, 54.7259101), (55.9379249, 54.7262149), (55.9380451, 54.7264677), (55.9380969, 54.7265767), (55.9382632, 54.7269267), (55.9384082, 54.7272318), (55.9384954, 54.7274279), (55.9385639, 54.7275609)]"
улица Свердлова,"[(55.9377315, 54.7258076), (55.9378864, 54.725784), (55.9386542, 54.7256644), (55.9387667, 54.7256469), (55.9391649, 54.7255753), (55.9398143, 54.7254732), (55.9404317, 54.7253715), (55.9406959, 54.7253301)]"
улица Крупской,"[(55.9528123, 54.7305713), (55.9527415, 54.730428), (55.952624, 54.7301903), (55.9522147, 54.7293618), (55.9516269, 54.7281721), (55.9515115, 54.7280919)]"
улица Кирова,"[(55.9528123, 54.7305713), (55.9529415, 54.7305477), (55.9538427, 54.7304069), (55.954117, 54.7303636), (55.9544956, 54.7303039), (55.955464, 54.7301579), (55.9558111, 54.730108)]"
улица Кирова,"[(55.9528123, 54.7305713), (55.9525876, 54.7306037), (55.951872, 54.730718), (55.9514617, 54.7307835), (55.9505214, 54.7309487), (55.9499619, 54.7310402), (55.9497969, 54.7310673)]"
улица Достоевского,"[(55.9540359, 54.7329647), (55.9541054, 54.7329536), (55.9549068, 54.7328252), (55.9550973, 54.7327946), (55.9557623, 54.7326881), (55.9566378, 54.7325478), (55.956886, 54.732508)]"
улица Крупской,"[(55.9540359, 54.7329647), (55.9539977, 54.7328922), (55.952886, 54.7307306), (55.9528123, 54.7305713)]"
улица Крупской,"[(55.9540359, 54.7329647), (55.9540585, 54.7330601), (55.954112, 54.7333406), (55.9545201, 54.7341595)]"
улица Гоголя,"[(55.9352408, 54.7206513), (55.9352776, 54.7207298)]"
улица Заки Валиди,"[(55.9352408, 54.7206513), (55.9370949, 54.7203279), (55.9379992, 54.7201888), (55.9381916, 54.7201527)]"
улица Пушкина,"[(55.9364868, 54.7233405), (55.9366559, 54.7233161), (55.937097, 54.7232455), (55.9384379, 54.7230266), (55.9392805, 54.7228798), (55.9394891, 54.7228506)]"
улица Пушкина,"[(55.9364868, 54.7233405), (55.9363257, 54.7233637), (55.9359531, 54.7234271), (55.9355937, 54.7234878), (55.9337037, 54.7238019), (55.9335875, 54.7238207)]"
улица Гоголя,"[(55.9364868, 54.7233405), (55.9365544, 54.7234495), (55.936811, 54.7238839), (55.9368228, 54.7239082), (55.9369495, 54.7241697), (55.9371326, 54.7245474), (55.9371723, 54.7246296), (55.9371925, 54.7246724), (55.9371994, 54.724687), (55.9374261, 54.7251645), (55.9376338, 54.7256021), (55.9376633, 54.7256641), (55.9376912, 54.7257262), (55.9377315, 54.7258076)]"
улица Тукаева,"[(55.9370769, 54.7177693), (55.9368752, 54.7177822), (55.9341068, 54.7182212)]"
улица Карла Маркса,"[(55.9370769, 54.7177693), (55.937118, 54.7178679), (55.9381624, 54.7200611), (55.9381916, 54.7201527)]"
улица Тукаева,"[(55.9370769, 54.7177693), (55.9371416, 54.7177594), (55.9395899, 54.7173784), (55.9396234, 54.7173741), (55.9401747, 54.7172852), (55.9403792, 54.7172522), (55.9405493, 54.7172248), (55.9408727, 54.7171726), (55.9420535, 54.7169823), (55.9426701, 54.716892), (55.9428911, 54.7168578), (55.9429415, 54.7168499), (55.9431514, 54.716817), (55.9442501, 54.7166447), (55.9447082, 54.7165768)]"
"['Большая Московская улица', 'улица Бехтерева']","[(55.9796676, 54.7108693), (55.9793077, 54.7112508), (55.9792225, 54.7114445), (55.9790494, 54.7116313), (55.9788786, 54.7117318), (55.9785307, 54.7118952), (55.9784241, 54.7121489), (55.9782886, 54.7122814), (55.9780462, 54.7124003), (55.9779642, 54.7124405), (55.9774896, 54.7126543), (55.9767173, 54.7128727), (55.9761685, 54.7129646), (55.9758772, 54.7130134), (55.9753416, 54.7132399), (55.9744728, 54.7136535), (55.9740947, 54.7138161), (55.9737085, 54.7138672), (55.9731947, 54.7140513), (55.9730158, 54.714066), (55.972754, 54.7142738), (55.9724304, 54.7144829), (55.9721749, 54.7144952), (55.971962, 54.7144399), (55.9717385, 54.7142849), (55.9716643, 54.714232), (55.9707998, 54.7136161), (55.9704805, 54.713378), (55.9704056, 54.7133), (55.970114, 54.7131787), (55.9697131, 54.7129507), (55.9692637, 54.712695), (55.9686491, 54.7122576), (55.9684382, 54.712109), (55.9680975, 54.711869), (55.9679674, 54.7117762), (55.9679489, 54.711763), (55.9678227, 54.7116683), (55.9677681, 54.7116267), (55.9677308, 54.7115952), (55.9677118, 54.7115776), (55.9676938, 54.7115596), (55.9676664, 54.7115296), (55.9676115, 54.7114614), (55.967514, 54.7113437), (55.9674148, 54.7112239), (55.9672598, 54.7110043), (55.9671825, 54.7109078), (55.967123, 54.7108459), (55.9670581, 54.710787), (55.9668791, 54.7106554)]"
Кавказская улица,"[(55.9796676, 54.7108693), (55.9797096, 54.7108307), (55.9801252, 54.7104491), (55.9802224, 54.7103599), (55.9802141, 54.7102606), (55.980207, 54.7101754), (55.9801257, 54.7100194), (55.9791997, 54.7093317), (55.9785903, 54.7088792)]"
улица Менделеева,"[(55.9796676, 54.7108693), (55.977452, 54.710801), (55.9773826, 54.7107989), (55.97695, 54.7107858), (55.9763181, 54.7107512), (55.9759178, 54.7107278), (55.9755138, 54.7107041)]"
улица Менделеева,"[(55.9796676, 54.7108693), (55.9805977, 54.7109004), (55.9813972, 54.7109271), (55.9827508, 54.7109724)]"
Кавказская улица,"[(55.9779256, 54.708386), (55.9775331, 54.7081277)]"
Кавказская улица,"[(55.9779256, 54.708386), (55.9783816, 54.7084881)]"
Кавказская улица,"[(55.9779256, 54.708386), (55.9782386, 54.7086078), (55.9785903, 54.7088792)]"
проспект Салавата Юлаева,"[(56.0181298, 54.7510368), (56.0194988, 54.7517647), (56.0198114, 54.7519189), (56.0201138, 54.7520264)]"
,"[(56.0181298, 54.7510368), (56.0182947, 54.7510773), (56.0183953, 54.7510909), (56.0184775, 54.7510917), (56.0185626, 54.7510776), (56.0186371, 54.7510547), (56.0186984, 54.7510117), (56.0187247, 54.7509725), (56.0187347, 54.7509208), (56.018721, 54.7508561)]"
,"[(55.9891915, 54.7249433), (55.9889628, 54.7252019)]"
,"[(55.9891915, 54.7249433), (55.9892022, 54.7248981), (55.9892006, 54.7248708), (55.9891863, 54.7248525), (55.989152, 54.7248368), (55.9891044, 54.7248221), (55.9890521, 54.7248119), (55.9889039, 54.7247955)]"
проспект Салавата Юлаева,"[(55.9892485, 54.7256104), (55.9901631, 54.7260863), (55.9903484, 54.7261854), (55.9909271, 54.7264948), (55.9935946, 54.7280645), (55.9950348, 54.7289261)]"
,"[(55.9870796, 54.7251023), (55.9872587, 54.7251836)]"
,"[(55.9870796, 54.7251023), (55.9868951, 54.7249422), (55.9863608, 54.7244862), (55.9858325, 54.7240688), (55.9853684, 54.7235894)]"
улица Кирова,"[(55.9870796, 54.7251023), (55.987212, 54.7250812), (55.9886712, 54.7248334), (55.9889039, 54.7247955)]"
улица Кирова,"[(55.9870796, 54.7251023), (55.9863557, 54.7252143), (55.986012, 54.7252671), (55.9841953, 54.7255591), (55.9835812, 54.7256592), (55.9835676, 54.7256614), (55.9826914, 54.7258042), (55.9822791, 54.7258715), (55.9819498, 54.7259252)]"
проспект Салавата Юлаева,"[(55.9853684, 54.7235894), (55.9843991, 54.7230711), (55.9827704, 54.7222219), (55.9816394, 54.7216117), (55.9813167, 54.7214705), (55.9811478, 54.7213999)]"
,"[(55.9896517, 54.7260685), (55.9872587, 54.7251836)]"
проспект Салавата Юлаева,"[(55.9896517, 54.7260685), (55.9853684, 54.7235894)]"
Айская улица,"[(55.9763402, 54.7214071), (55.9764273, 54.721332), (55.9764793, 54.7212856), (55.9765565, 54.721235), (55.976638, 54.7211896), (55.9771979, 54.7209427)]"
улица Воровского,"[(55.9763402, 54.7214071), (55.9763026, 54.7211383), (55.9762554, 54.7210409), (55.9762083, 54.7209675), (55.9761407, 54.720888), (55.9760297, 54.7207972), (55.9759072, 54.7207211), (55.9757621, 54.720653), (55.9756059, 54.7205886), (55.9754421, 54.7205452), (55.9752747, 54.7205143), (55.975086, 54.7204863), (55.9749225, 54.7204588)]"
Айская улица,"[(55.9763402, 54.7214071), (55.9759265, 54.722209), (55.9758086, 54.7224205), (55.9756929, 54.7226397), (55.9756253, 54.7227772), (55.9755707, 54.7229092), (55.9755085, 54.7230582), (55.9754762, 54.7232034), (55.9754563, 54.7233154), (55.9754424, 54.7234206), (55.9754315, 54.7235407)]"
проспект Салавата Юлаева,"[(55.9792415, 54.7208668), (55.9779167, 54.7206366), (55.9757375, 54.7202368)]"
Айская улица,"[(55.9772569, 54.7208966), (55.9771979, 54.7209427)]"
,"[(55.9772569, 54.7208966), (55.9773443, 54.7208173), (55.9774146, 54.7207489), (55.9777271, 54.7201826), (55.9778224, 54.7199834)]"
,"[(55.9772569, 54.7208966), (55.9774141, 54.72093), (55.977555, 54.7209608), (55.9776618, 54.7209819), (55.9792092, 54.7212184)]"
,"[(55.9796239, 54.720297), (55.9796836, 54.7203181), (55.9797427, 54.7203444), (55.9797977, 54.7203731), (55.9799188, 54.7204618), (55.9801354, 54.7206272), (55.9803793, 54.7207998), (55.9805385, 54.7209059), (55.9806414, 54.7209723), (55.9807625, 54.7210419)]"
,"[(55.9796239, 54.720297), (55.9795525, 54.72028), (55.978414, 54.7200814), (55.9778224, 54.7199834)]"
улица Октябрьской Революции,"[(55.96112, 54.7170356), (55.9611926, 54.7169672), (55.9612738, 54.7168438), (55.9615599, 54.7163825), (55.9616596, 54.7162314), (55.9617081, 54.7161425)]"
улица Воровского,"[(55.96112, 54.7170356), (55.9610134, 54.7169468), (55.9609066, 54.7168838), (55.9607997, 54.7168403), (55.9601495, 54.7165754), (55.9591498, 54.7161872), (55.9590497, 54.7161517), (55.9589584, 54.7161193)]"
улица Октябрьской Революции,"[(55.96112, 54.7170356), (55.9610604, 54.7171073), (55.9610348, 54.7171307), (55.9607752, 54.7173679)]"
Сочинская улица,"[(55.9615144, 54.7116654), (55.9616719, 54.7115825), (55.9618573, 54.7114591), (55.9621216, 54.7112455)]"
,"[(55.9615144, 54.7116654), (55.9610753, 54.7115881), (55.9608158, 54.7115319)]"
улица Достоевского,"[(55.9388757, 54.7353484), (55.9389334, 54.7353398), (55.9389755, 54.7353332), (55.9390977, 54.7353207)]"
улица Аксакова,"[(55.9388757, 54.7353484), (55.9388458, 54.7352807), (55.9379513, 54.7332584), (55.9378748, 54.7330973), (55.9378278, 54.7329935)]"
Академика Королёва улица,"[(56.0851322, 54.7733938), (56.0848295, 54.7734014), (56.0834637, 54.7734358), (56.0833288, 54.7734595), (56.0824815, 54.7734898), (56.0816401, 54.7735252), (56.0812194, 54.773537), (56.0805474, 54.7735555), (56.0796067, 54.7735858), (56.0789455, 54.7736222)]"
улица Набережная реки Уфы,"[(56.0851322, 54.7733938), (56.0851199, 54.7731262), (56.0850882, 54.7727573), (56.0850455, 54.7722225), (56.0850116, 54.771699), (56.0849817, 54.7714005), (56.0849278, 54.7711522), (56.08484, 54.7708605), (56.0846754, 54.7703858), (56.0844536, 54.7698307), (56.0842947, 54.7694603), (56.0841678, 54.7692312), (56.0840316, 54.7690328), (56.0837665, 54.7687059), (56.0833436, 54.7682096), (56.0831207, 54.7679767), (56.0829223, 54.7677986), (56.0824659, 54.7674136), (56.0820873, 54.7671048), (56.0815443, 54.7667101), (56.0811194, 54.7664363), (56.080405, 54.7660313), (56.0798148, 54.7657068), (56.0792121, 54.7653892), (56.0785563, 54.7650521), (56.077971, 54.7647344), (56.0766203, 54.764022)]"
улица Набережная реки Уфы,"[(56.0851322, 54.7733938), (56.0851858, 54.7738757), (56.0851279, 54.7741459), (56.0849657, 54.774688), (56.0848898, 54.7748417), (56.0847237, 54.7750556), (56.0844741, 54.7753471), (56.0841587, 54.7756395), (56.0837445, 54.7759488), (56.083528, 54.7760898), (56.0830336, 54.7763952), (56.0822977, 54.7767994), (56.080894, 54.7775328), (56.0802993, 54.7778667), (56.0798595, 54.7781354), (56.0794559, 54.7784257), (56.0791933, 54.7786432), (56.0790611, 54.7787579), (56.0784756, 54.7793723), (56.0781344, 54.7798431), (56.0779288, 54.7801687), (56.0778657, 54.7803397), (56.0777232, 54.7807216), (56.0775565, 54.7812039), (56.0774669, 54.7814685), (56.0772754, 54.7820436), (56.0772136, 54.7823415)]"
Академика Королёва улица,"[(56.0789455, 54.7736222), (56.0796067, 54.7735858), (56.0805474, 54.7735555), (56.0812194, 54.773537), (56.0816401, 54.7735252), (56.0824815, 54.7734898), (56.0833288, 54.7734595), (56.0834637, 54.7734358), (56.0848295, 54.7734014), (56.0851322, 54.7733938)]"
улица Академика Королёва,"[(56.0789455, 54.7736222), (56.078617, 54.7735982), (56.0773037, 54.7736252), (56.0760796, 54.7736568), (56.073809, 54.7737372), (56.0736264, 54.7737412), (56.0735596, 54.7737412), (56.0735066, 54.7737446), (56.0734115, 54.7737484), (56.0712615, 54.7738153), (56.0702801, 54.7738541), (56.0697849, 54.773866), (56.0691645, 54.7738815), (56.0684724, 54.7739028), (56.0680052, 54.7739182)]"
улица Юрия Гагарина,"[(56.0789455, 54.7736222), (56.0791522, 54.7735023), (56.0791183, 54.7734141), (56.0790545, 54.7733119), (56.0779032, 54.7720972), (56.0771482, 54.7713549), (56.0769957, 54.7711966), (56.0768057, 54.7710138), (56.0759802, 54.7701569), (56.0758312, 54.7700022), (56.0753622, 54.7697273), (56.0753449, 54.7697172), (56.0746354, 54.7693286), (56.0738031, 54.7688727), (56.0736925, 54.768812), (56.0735743, 54.7687475), (56.0733175, 54.7686123), (56.0724759, 54.7681459), (56.0721554, 54.7679704), (56.0720241, 54.7678984)]"
улица Юрия Гагарина,"[(56.0789455, 54.7736222), (56.0789692, 54.773658), (56.0789986, 54.7737132), (56.0790026, 54.7737859), (56.0789115, 54.7739074), (56.0780986, 54.7745959), (56.0775876, 54.775014), (56.0771511, 54.7753601), (56.0767226, 54.77569), (56.0764512, 54.7759079), (56.0760685, 54.7762183), (56.0754381, 54.7767311), (56.0750529, 54.7770492), (56.0748449, 54.7772064), (56.0735698, 54.7782088), (56.0735057, 54.7782577), (56.0734618, 54.7782978)]"
Комсомольская улица,"[(56.0284137, 54.7670692), (56.0282474, 54.7669434), (56.0260515, 54.7652818), (56.0257598, 54.7650572)]"
Российская улица,"[(56.0284137, 54.7670692), (56.0286268, 54.7672154), (56.0300376, 54.7682475), (56.0302077, 54.7683709), (56.0311622, 54.7690635), (56.0316116, 54.7693895)]"
бульвар Давлеткильдеева,"[(56.0284137, 54.7670692), (56.0287565, 54.7669359), (56.0289605, 54.7668475), (56.0304533, 54.7662005), (56.0312888, 54.7658197), (56.0317247, 54.7656313), (56.0328258, 54.7651553), (56.0329279, 54.765113), (56.0330483, 54.765063), (56.0335495, 54.764855), (56.0338705, 54.7647219)]"
Южный проезд,"[(56.0284137, 54.7670692), (56.0281874, 54.767174), (56.0278159, 54.767346), (56.0276992, 54.7674), (56.0268261, 54.7677902), (56.0261043, 54.7681142), (56.0260553, 54.768174), (56.0260011, 54.7682401), (56.0259863, 54.7682601), (56.0259543, 54.7682972), (56.0259205, 54.7685129)]"
бульвар Славы,"[(56.0358748, 54.7898807), (56.0361321, 54.7898439)]"
проспект Октября,"[(56.0358748, 54.7898807), (56.0355358, 54.7891414), (56.0352099, 54.7884306), (56.03491, 54.7877765), (56.0346094, 54.7871208), (56.0342807, 54.7864038), (56.0339114, 54.7855982)]"
